"symbol__gene_id","gene_id","module_color","module","FTA2_S7_L001","FTB2_S8_L001","FTC2_S9_L001","FTD2_S10_L001","FTE2_S11_L001","FTF2_S12_L001","GCA2_S1_L001","GCB2_S2_L001","GCC2_S3_L001","GCD2_S4_L001","GCE2_S5_L001","GCF2_S6_L001","band","chromosome_name","start_position","percentage_gc_content","transcript_count","gene_biotype","description","entrezgene_id","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons","symbol","set"
"__AT1G51850","AT1G51850","turquoise","1",2,3.36004036754744,5.03415688291066,2.96959090003602,2.56800971751877,2.58647374483333,3.13440010428144,6.16061295738556,4.91037888525418,2,2,3.10756886818276,NA,"Chr1",19252811,NA,2,"protein_coding","Leucine-rich repeat protein kinase family protein",NA,4117,2628,4027,144,135,14,"","List"
"BGLU18__AT1G52400","AT1G52400","turquoise","1",4.89766820120452,6.18873005143768,8.37991755086107,5.7503607928282,6.34334242407795,4.17344877832975,5.35943159149208,7.94133107772267,6.43882916491253,5.46126083366614,5.47828008331613,4.87804304007561,NA,"Chr1",19514989,NA,3,"protein_coding","beta glucosidase 18",NA,3423,1520,3186,156,389,12,"BGLU18","List"
"TSA1__AT1G52410","AT1G52410","turquoise","1",4.94320496720608,6.71669596885184,6.35472027535612,5.6980589898871,5.85891156823628,5.28946735216524,4.9210552965099,6.66609052391933,6.63258464008075,5.69687280228347,6.1477114567042,3.95867775465171,NA,"Chr1",19520603,NA,2,"protein_coding","TSK-associating protein 1",NA,5083,2274,4990,96,294,26,"TSA1","List"
"__AT1G53070","AT1G53070","turquoise","1",4.85064715052187,5.80561041293207,5.70670917158427,3.76371454300979,4.28090168095409,3.81059136609022,4.9210552965099,5.08815600156494,4.04172626762468,5.64147815564124,5.44234312697389,3.10756886818276,NA,"Chr1",19778133,NA,1,"protein_coding","Legume lectin family protein",NA,1315,819,1315,238,258,1,"","List"
"__AT1G54010","AT1G54010","turquoise","1",6.59575185440084,8.80771208229985,8.4790311220184,7.24389679452736,7.60778073507326,6.63370289734233,7.88192694034416,9.22919820565348,9.45825587112011,8.21476299737552,8.2293680664295,7.331417041032,NA,"Chr1",20158589,NA,1,"protein_coding","GDSL-like Lipase/Acylhydrolase superfamily protein",NA,2276,1161,2276,117,265,4,"","List"
"__AT1G61450","AT1G61450","turquoise","1",4.11955207379279,4.86149777136511,4.91783408448195,3.13609720467821,2.97449553209416,2.32283503130743,2,3.89134469342518,3.82805587208358,4.06183036345336,3.79394532813317,2.36592268146661,NA,"Chr1",22672992,NA,1,"protein_coding","None",NA,1118,363,1118,330,188,4,"","List"
"LRX2__AT1G62440","AT1G62440","turquoise","1",3.54189428613891,5.89515391657161,5.2738594468872,3.76371454300979,6.16081492064034,4.75874642840313,4.2882510506065,6.65419658912836,5.59126359991499,4.97063266221799,5.24786312496283,4.69719682511661,NA,"Chr1",23112933,NA,1,"protein_coding","leucine-rich repeat/extensin 2",NA,2361,2361,2361,NA,NA,1,"LRX2","List"
"FMO GS-OX3__AT1G62560","AT1G62560","turquoise","1",7.18458443456501,6.37145210930403,6.69818019887291,6.48038443519912,6.37723182953638,5.39641569375377,6.75473677161243,7.26755169857115,8.17258595652984,7.19611334502303,7.92531615958737,5.08853930698387,NA,"Chr1",23159734,NA,2,"protein_coding","flavin-monooxygenase glucosinolate S-oxygenase 3",NA,3148,1290,3148,178,622,6,"FMO GS-OX3","List"
"AMT1__AT1G64780","AT1G64780","turquoise","1",10.2089164653197,7.27075941280276,9.20951294980252,9.44269872132334,8.8162595272633,9.23811862212675,10.7445230486811,9.65780231445451,10.1575070481063,10.2025150778546,10.7225154200944,9.46850506591061,NA,"Chr1",24060640,NA,1,"protein_coding","ammonium transporter 1",NA,2165,1545,2165,239,381,1,"AMT1","List"
"XTH17__AT1G65310","AT1G65310","turquoise","1",3.76116064390409,5.97946303866039,5.42356485709793,3.42061666562067,5.16363887646571,3.32464719552684,2.92330472536717,6.81239987199659,5.97606121754223,4.49585214076155,4.35408483118573,3.72667626196656,NA,"Chr1",24257054,NA,2,"protein_coding","xyloglucan endotransglucosylase/hydrolase 17",NA,1453,882,1359,94,174,3,"XTH17","List"
"FMO GS-OX1__AT1G65860","AT1G65860","turquoise","1",5.79747152380073,6.15287030771143,6.70988781835993,5.40365658720571,5.50757335474929,4.09092746605148,6.4141107890591,7.50459398659598,7.8570607852689,6.34306546816879,7.08328080246515,3.84733554617061,NA,"Chr1",24498954,NA,1,"protein_coding","flavin-monooxygenase glucosinolate S-oxygenase 1",NA,3823,1380,3823,98,256,7,"FMO GS-OX1","List"
"__AT1G66090","AT1G66090","turquoise","1",3.54189428613891,4.67181635055114,5.14179647629672,4.40933212884069,4.35079550323709,3.91021324550651,2.67593902155288,4.81659095982462,4.91037888525418,4.43198950709799,2.34956895221554,4.41429344752499,NA,"Chr1",24602033,NA,1,"protein_coding","Disease resistance protein (TIR-NBS class)",NA,2731,1290,2731,188,190,2,"","List"
"MYB90__AT1G66390","AT1G66390","turquoise","1",5.87000272538089,3.48066315246953,4.20032636606769,4.04069150523463,4.20744856567678,3.58798340755163,4.97688003496949,3.41552852223501,4.67458805652285,5.66944133369156,6.21315375153802,3.95867775465171,NA,"Chr1",24763941,NA,1,"protein_coding","myb domain protein 90",NA,1601,750,1601,111,141,3,"MYB90","List"
"__AT1G66620","AT1G66620","turquoise","1",4.19678351271308,5.73460587416146,5.53306234516146,3.8620682090579,2.97449553209416,3.17244286287282,4.09996830698787,5.15720196370665,4.3125412629073,3.30185506933204,4.2745652891338,3.45008071856468,NA,"Chr1",24852509,NA,1,"protein_coding","Protein with RING/U-box and TRAF-like domains",NA,1645,942,1645,109,297,2,"","List"
"__AT1G66940","AT1G66940","turquoise","1",6.31315053363384,8.80771208229985,8.16284530371511,6.92918834223362,7.83206292173637,6.93511806271505,7.19216891375115,8.10318730910931,8.06066044116378,7.30707752470518,7.2588378249405,6.07714094330531,NA,"Chr1",24973028,NA,4,"protein_coding","kinase-like protein",NA,1919,986,1830,189,277,4,"","List"
"PHO1__AT1G68740","AT1G68740","turquoise","1",3.95145672093534,5.49785843106557,5.88252304366708,3.95414256187631,4.60074750766966,4.3255524247558,3.76151728452404,6.09173400433746,7.22013474889405,4.14385037830125,5.02302050220946,4.82024367958644,NA,"Chr1",25812449,NA,2,"protein_coding","EXS (ERD1/XPR1/SYG1) family protein",NA,4535,2264,4535,409,446,12,"PHO1","List"
"__AT1G69520","AT1G69520","turquoise","1",4.03795121375176,4.86149777136511,5.75271173193102,3.65816199162202,4.28090168095409,3.17244286287282,2.92330472536717,4.24854772519576,5.01523927388083,2.57384531726652,3.24543442317476,2.90003920100746,NA,"Chr1",26128288,NA,2,"protein_coding","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein",NA,1315,717,1315,188,NA,6,"","List"
"__AT1G71140","AT1G71140","turquoise","1",5.55504089446302,2.53375515896264,5.70670917158427,5.80083265371135,5.56751288357537,5.32600482646214,5.31680386692672,5.43255856859328,6.05197195766464,6.32559800481485,6.43051881313966,5.51012646628471,NA,"Chr1",26824564,NA,1,"protein_coding","MATE efflux family protein",NA,2351,1458,2351,198,166,7,"","List"
"SUC5__AT1G71890","AT1G71890","turquoise","1",3.28322502075617,3.96716897851746,4.74653395598881,3.42061666562067,3.86932796390693,3.46231534866231,2.67593902155288,4.48177158101729,5.29062211713948,2.79304560190314,3.40331093668934,2.65755872340552,NA,"Chr1",27058381,NA,1,"protein_coding","Major facilitator superfamily protein",NA,2406,1539,2406,111,213,3,"SUC5","List"
"__AT1G73600","AT1G73600","turquoise","1",7.50616246412624,8.20457163596128,8.08406829116532,6.38435504523584,6.69195648530315,6.34415567384946,7.78361604194411,8.63498367011694,9.62907734984182,7.74836598044954,9.13220023226812,5.94815957545668,NA,"Chr1",27669152,NA,2,"protein_coding","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein",NA,4421,1494,3684,136,172,11,"","List"
"__AT1G73620","AT1G73620","turquoise","1",2.56358909979754,4.56672191421659,5.39484080931985,4.12234082545011,3.55085535493351,3.00226627293868,3.48176852247284,4.85865822446174,4.13775831262173,2.98329193367204,2.86595017324234,2.90003920100746,NA,"Chr1",27681358,NA,1,"protein_coding","Pathogenesis-related thaumatin superfamily protein",NA,1816,795,1816,74,219,3,"","List"
"__AT1G76740","AT1G76740","turquoise","1",4.94320496720608,6.11609646206531,6.00161226999136,4.04069150523463,4.76335291847172,3.32464719552684,4.09996830698787,5.34648314448277,4.6090849138859,3.88231871410398,4.00575157692524,3.28896552670609,NA,"Chr1",28805114,NA,1,"protein_coding","None",NA,5534,4599,5534,121,170,7,"","List"
"IGMT5__AT1G76790","AT1G76790","turquoise","1",4.11955207379279,5.63414689211423,6.14649616284141,4.34275729809957,4.76335291847172,4.70427286642535,5.480241486737,5.31661099877087,5.89593333656722,5.46126083366614,5.47828008331613,3.10756886818276,NA,"Chr1",28822186,NA,1,"protein_coding","O-methyltransferase family protein",NA,1542,1104,1542,97,169,3,"IGMT5","List"
"TPPB__AT1G78090","AT1G78090","turquoise","1",4.11955207379279,5.31525453735683,4.26524261032051,4.75482579074029,3.55085535493351,3.70357668746633,4.2882510506065,5.05235295854788,4.7372458594505,2.57384531726652,3.90373195300829,2.90003920100746,NA,"Chr1",29373803,NA,2,"protein_coding","trehalose-6-phosphate phosphatase",NA,2837,1100,2726,109,344,10,"TPPB","List"
"__AT1G78260","AT1G78260","turquoise","1",5.33355071055322,7.91454661561598,7.50522763171371,6.65516298421814,7.58620950321605,7.1336828057619,6.28737812882903,6.91564290919963,6.49430392801894,6.09761303752306,6.23432439489449,5.08853930698387,NA,"Chr1",29446861,NA,2,"protein_coding","RNA-binding (RRM/RBD/RNP motifs) family protein",NA,3655,840,3538,394,746,6,"","List"
"GSTU20__AT1G78370","AT1G78370","turquoise","1",8.49403275818428,9.03402484677122,9.13331082958793,7.79136311427967,8.35429164519269,7.26179860996184,7.18032858236283,9.4238968907495,9.85426158186045,9.04078190736461,9.38975059481741,6.96873977742074,NA,"Chr1",29484120,NA,1,"protein_coding","glutathione S-transferase TAU 20",NA,1270,654,1270,185,308,2,"GSTU20","List"
"__AT1G78850","AT1G78850","turquoise","1",7.77527212279208,9.22097032837664,9.10698865875241,8.21546153051345,9.15101167771984,8.31735506650388,8.92035163011838,10.0740316226835,10.6832649950843,9.58861253028317,9.31471270949545,9.31740677079293,NA,"Chr1",29641860,NA,1,"protein_coding","D-mannose binding lectin protein with Apple-like carbohydrate-binding domain",NA,1676,1326,1676,138,212,1,"","List"
"__AT1G78860","AT1G78860","turquoise","1",2.96781997187233,4.39316311423441,5.50645719555555,2.56476115137027,2.97449553209416,3.00226627293868,3.31851396598422,4.68248720024385,4.46841897190053,2.31526807014754,3.06813386049407,2,NA,"Chr1",29646003,NA,1,"protein_coding","D-mannose binding lectin protein with Apple-like carbohydrate-binding domain",NA,1689,1332,1689,192,165,1,"","List"
"DGR1__AT1G80240","AT1G80240","turquoise","1",2,4.8163638270057,4.38691900109432,2.56476115137027,4.13005410585845,3.58798340755163,2.3771994527339,5.08815600156494,5.7209479994868,3.56264180082731,3.54560226389378,2.90003920100746,NA,"Chr1",30171357,NA,1,"protein_coding","Protein of unknown function, DUF642",NA,1753,1113,1753,310,163,3,"DGR1","List"
